optimizer,n_layers,n_neurons,learning_rate,mse,loc,model
adam,1,100,0.0078120087,0.25425058603286743,Estaca_de_Bares,COP
adam,1,200,0.009042962,0.18332397937774658,Estaca_de_Bares,COP
adam,5,10,0.008214995,2.485579490661621,Estaca_de_Bares,COP
adam,5,50,0.009084407,1.8200589418411255,Estaca_de_Bares,COP
adam,5,100,0.009042962,0.24864597618579865,Estaca_de_Bares,COP
adam,5,200,0.009001707,0.3255719840526581,Estaca_de_Bares,COP
adam,10,10,0.009042962,3.7136311531066895,Estaca_de_Bares,COP
adam,10,50,0.009042962,0.5175336599349976,Estaca_de_Bares,COP
adam,10,100,0.009084407,0.8670039772987366,Estaca_de_Bares,COP
adam,10,200,0.009084407,1.0137968063354492,Estaca_de_Bares,COP
adam,15,10,0.008919759,2.3637969493865967,Estaca_de_Bares,COP
adam,15,50,0.009084407,1.3426659107208252,Estaca_de_Bares,COP
adam,15,100,0.009084407,2.3597936630249023,Estaca_de_Bares,COP
adam,15,200,0.009084407,2.3641693592071533,Estaca_de_Bares,COP
sgd,1,10,0.008177517,0.2694465219974518,Estaca_de_Bares,COP
sgd,1,50,0.006330127,0.23921045660972595,Estaca_de_Bares,COP
sgd,1,100,0.006330127,0.22538027167320251,Estaca_de_Bares,COP
sgd,1,200,0.007327578,0.22728095948696136,Estaca_de_Bares,COP
sgd,5,10,0.009042962,1.6370823383331299,Estaca_de_Bares,COP
sgd,5,50,0.009042962,1.4573813676834106,Estaca_de_Bares,COP
sgd,5,100,0.009084407,1.0481489896774292,Estaca_de_Bares,COP
sgd,5,200,0.008879065,0.42669275403022766,Estaca_de_Bares,COP
sgd,10,10,0.008758094,1.8764023780822754,Estaca_de_Bares,COP
sgd,10,50,0.008879065,0.42695555090904236,Estaca_de_Bares,COP
sgd,10,100,0.009042962,1.4262776374816895,Estaca_de_Bares,COP
sgd,10,200,0.009084407,1.6533795595169067,Estaca_de_Bares,COP
sgd,15,10,0.008798233,1.515858769416809,Estaca_de_Bares,COP
sgd,15,50,0.008758094,0.46347129344940186,Estaca_de_Bares,COP
sgd,15,100,0.009001707,0.381695955991745,Estaca_de_Bares,COP
sgd,15,200,0.008960639,0.4815923869609833,Estaca_de_Bares,COP
rmsprop,1,10,0.008029305,0.24169643223285675,Estaca_de_Bares,COP
rmsprop,1,50,0.008718138,0.20250475406646729,Estaca_de_Bares,COP
rmsprop,1,100,0.0075314003,0.24239398539066315,Estaca_de_Bares,COP
rmsprop,1,200,0.008443502,0.18632544577121735,Estaca_de_Bares,COP
rmsprop,5,10,0.009042962,2.3075664043426514,Estaca_de_Bares,COP
rmsprop,5,50,0.009084407,1.4175305366516113,Estaca_de_Bares,COP
rmsprop,5,100,0.008879065,0.8456855416297913,Estaca_de_Bares,COP
rmsprop,5,200,0.0085210735,0.5111104249954224,Estaca_de_Bares,COP
rmsprop,10,10,0.009042962,3.2808780670166016,Estaca_de_Bares,COP
rmsprop,10,50,0.008718138,0.9615313410758972,Estaca_de_Bares,COP
rmsprop,10,100,0.008838557,0.4311351478099823,Estaca_de_Bares,COP
rmsprop,10,200,0.009042962,0.5689242482185364,Estaca_de_Bares,COP
rmsprop,15,10,0.008252646,1.427945613861084,Estaca_de_Bares,COP
rmsprop,15,50,0.008960639,0.7132682204246521,Estaca_de_Bares,COP
rmsprop,15,100,0.009001707,1.0720009803771973,Estaca_de_Bares,COP
rmsprop,15,200,0.008960639,0.31502342224121094,Estaca_de_Bares,COP
adam,1,10,0.008414905,0.2904702126979828,Villano-Sisargas,GOW
adam,1,50,0.006714855,0.18802495300769806,Villano-Sisargas,GOW
adam,1,100,0.008122219,0.1930762678384781,Villano-Sisargas,GOW
adam,1,200,0.008122219,0.1880134642124176,Villano-Sisargas,GOW
adam,5,10,0.008913183,2.5983147621154785,Villano-Sisargas,GOW
adam,5,50,0.009072355,1.1024091243743896,Villano-Sisargas,GOW
adam,5,100,0.009072355,0.4447484314441681,Villano-Sisargas,GOW
adam,5,200,0.008834646,0.27926427125930786,Villano-Sisargas,GOW
adam,10,10,0.008603166,3.3644940853118896,Villano-Sisargas,GOW
adam,10,50,0.009112591,0.5670763254165649,Villano-Sisargas,GOW
adam,10,100,0.009112591,0.2826845943927765,Villano-Sisargas,GOW
adam,10,200,0.009112591,2.1949827671051025,Villano-Sisargas,GOW
adam,15,10,0.009072355,1.0513079166412354,Villano-Sisargas,GOW
adam,15,50,0.009072355,1.2434754371643066,Villano-Sisargas,GOW
adam,15,100,0.009112591,2.199979305267334,Villano-Sisargas,GOW
adam,15,200,0.009112591,2.1956911087036133,Villano-Sisargas,GOW
sgd,1,10,0.008834646,0.25617125630378723,Villano-Sisargas,GOW
sgd,1,50,0.0064241914,0.2349165827035904,Villano-Sisargas,GOW
sgd,1,100,0.0071756933,0.22841185331344604,Villano-Sisargas,GOW
sgd,1,200,0.008452225,0.22956161201000214,Villano-Sisargas,GOW
sgd,5,10,0.009112591,1.6364927291870117,Villano-Sisargas,GOW
sgd,5,50,0.009072355,1.374565601348877,Villano-Sisargas,GOW
sgd,5,100,0.009112591,0.9179185628890991,Villano-Sisargas,GOW
sgd,5,200,0.009072355,0.5005349516868591,Villano-Sisargas,GOW
sgd,10,10,0.009032298,1.9586623907089233,Villano-Sisargas,GOW
sgd,10,50,0.008873828,0.6616185903549194,Villano-Sisargas,GOW
sgd,10,100,0.009072355,1.2382254600524902,Villano-Sisargas,GOW
sgd,10,200,0.009112591,1.5175271034240723,Villano-Sisargas,GOW
sgd,15,10,0.0087568015,2.316398859024048,Villano-Sisargas,GOW
sgd,15,50,0.008873828,0.380134642124176,Villano-Sisargas,GOW
sgd,15,100,0.008952713,0.3687054216861725,Villano-Sisargas,GOW
sgd,15,200,0.008992417,0.47170841693878174,Villano-Sisargas,GOW
rmsprop,1,10,0.008952713,0.288094162940979,Villano-Sisargas,GOW
rmsprop,1,50,0.008952713,0.309762567281723,Villano-Sisargas,GOW
rmsprop,1,100,0.00864132,0.25923386216163635,Villano-Sisargas,GOW
rmsprop,1,200,0.008452225,0.28875869512557983,Villano-Sisargas,GOW
rmsprop,5,10,0.009072355,2.6979095935821533,Villano-Sisargas,GOW
rmsprop,5,50,0.008952713,1.360594391822815,Villano-Sisargas,GOW
rmsprop,5,100,0.008992417,1.0690823793411255,Villano-Sisargas,GOW
rmsprop,5,200,0.008452225,0.3355461061000824,Villano-Sisargas,GOW
rmsprop,10,10,0.009032298,3.1877455711364746,Villano-Sisargas,GOW
rmsprop,10,50,0.008952713,0.610684335231781,Villano-Sisargas,GOW
rmsprop,10,100,0.009112591,0.4260070025920868,Villano-Sisargas,GOW
rmsprop,10,200,0.008834646,0.3343634009361267,Villano-Sisargas,GOW
rmsprop,15,10,0.007303838,2.500335216522217,Villano-Sisargas,GOW
rmsprop,15,50,0.009032298,0.7835436463356018,Villano-Sisargas,GOW
rmsprop,15,100,0.008992417,0.5273710489273071,Villano-Sisargas,GOW
rmsprop,15,200,0.008679643,2.218302011489868,Villano-Sisargas,GOW
adam,1,10,0.008952713,0.28775522112846375,Villano-Sisargas,COP
adam,1,50,0.0087568015,0.21610702574253082,Villano-Sisargas,COP
adam,1,100,0.008340759,0.2570469081401825,Villano-Sisargas,COP
adam,1,200,0.008952713,0.18489772081375122,Villano-Sisargas,COP
adam,5,10,0.008565179,2.5730817317962646,Villano-Sisargas,COP
