optimizer,n_layers,n_neurons,learning_rate,mse,loc,model
adam,15,50,0.009034582,1.6088311672210693,Cabo_de_Pennas,GOW
adam,15,100,0.009076371,1.0505471229553223,Cabo_de_Pennas,GOW
adam,15,200,0.009076371,1.0500190258026123,Cabo_de_Pennas,GOW
sgd,1,10,0.0066932407,0.1148957908153534,Cabo_de_Pennas,GOW
sgd,1,50,0.006944962,0.10544320195913315,Cabo_de_Pennas,GOW
sgd,1,100,0.008391531,0.10398177057504654,Cabo_de_Pennas,GOW
sgd,1,200,0.008050143,0.10331833362579346,Cabo_de_Pennas,GOW
sgd,5,10,0.00895158,0.5466672778129578,Cabo_de_Pennas,GOW
sgd,5,50,0.009034582,0.42254698276519775,Cabo_de_Pennas,GOW
sgd,5,100,0.008992985,0.2595064043998718,Cabo_de_Pennas,GOW
sgd,5,200,0.008992985,0.20782433450222015,Cabo_de_Pennas,GOW
sgd,10,10,0.008910365,0.8991851806640625,Cabo_de_Pennas,GOW
sgd,10,50,0.008747396,0.263226717710495,Cabo_de_Pennas,GOW
sgd,10,100,0.008276156,0.21622474491596222,Cabo_de_Pennas,GOW
sgd,10,200,0.008992985,0.2096676081418991,Cabo_de_Pennas,GOW
sgd,15,10,0.009034582,1.6401786804199219,Cabo_de_Pennas,GOW
sgd,15,50,0.008707122,0.33513501286506653,Cabo_de_Pennas,GOW
sgd,15,100,0.008910365,0.5389866828918457,Cabo_de_Pennas,GOW
sgd,15,200,0.008910365,0.46313971281051636,Cabo_de_Pennas,GOW
rmsprop,1,10,0.007616465,0.10541388392448425,Cabo_de_Pennas,GOW
rmsprop,1,50,0.009076371,0.10461672395467758,Cabo_de_Pennas,GOW
rmsprop,1,100,0.008238051,0.11521667242050171,Cabo_de_Pennas,GOW
rmsprop,1,200,0.00854787,0.10320260375738144,Cabo_de_Pennas,GOW
rmsprop,5,10,0.009076371,0.5248309969902039,Cabo_de_Pennas,GOW
rmsprop,5,50,0.009076371,0.4571395218372345,Cabo_de_Pennas,GOW
rmsprop,5,100,0.009076371,0.2749989628791809,Cabo_de_Pennas,GOW
rmsprop,5,200,0.009076371,0.17831727862358093,Cabo_de_Pennas,GOW
rmsprop,10,10,0.009076371,1.1137386560440063,Cabo_de_Pennas,GOW
rmsprop,10,50,0.009076371,1.0005431175231934,Cabo_de_Pennas,GOW
rmsprop,10,100,0.009034582,0.7161353826522827,Cabo_de_Pennas,GOW
rmsprop,10,200,0.009034582,0.3928786814212799,Cabo_de_Pennas,GOW
rmsprop,15,10,0.008352895,1.1192270517349243,Cabo_de_Pennas,GOW
rmsprop,15,50,0.009034582,0.701846718788147,Cabo_de_Pennas,GOW
rmsprop,15,100,0.008910365,0.44504839181900024,Cabo_de_Pennas,GOW
rmsprop,15,200,0.009034582,1.0496333837509155,Cabo_de_Pennas,GOW
adam,1,10,0.009076371,0.1353674829006195,Cabo_de_Pennas,COP
adam,1,50,0.008627129,0.12886209785938263,Cabo_de_Pennas,COP
adam,1,100,0.0076870876,0.1421412080526352,Cabo_de_Pennas,COP
adam,1,200,0.008276156,0.14122416079044342,Cabo_de_Pennas,COP
adam,5,10,0.009076371,0.5386711359024048,Cabo_de_Pennas,COP
adam,5,50,0.009076371,0.6133068799972534,Cabo_de_Pennas,COP
adam,5,100,0.009076371,0.2812039256095886,Cabo_de_Pennas,COP
adam,5,200,0.008992985,0.2007254958152771,Cabo_de_Pennas,COP
adam,10,10,0.008828505,0.8999664187431335,Cabo_de_Pennas,COP
adam,10,50,0.009076371,1.2600260972976685,Cabo_de_Pennas,COP
adam,10,100,0.009076371,0.8207802176475525,Cabo_de_Pennas,COP
adam,10,200,0.009076371,1.0495851039886475,Cabo_de_Pennas,COP
adam,15,10,0.009034582,5.082691669464111,Cabo_de_Pennas,COP
adam,15,50,0.009076371,0.7012233734130859,Cabo_de_Pennas,COP
adam,15,100,0.009076371,1.0498601198196411,Cabo_de_Pennas,COP
adam,15,200,0.009076371,1.049250841140747,Cabo_de_Pennas,COP
sgd,1,10,0.008124786,0.12281330674886703,Cabo_de_Pennas,COP
sgd,1,50,0.007139946,0.13005174696445465,Cabo_de_Pennas,COP
sgd,1,100,0.006944962,0.13116325438022614,Cabo_de_Pennas,COP
sgd,1,200,0.008314437,0.12998411059379578,Cabo_de_Pennas,COP
sgd,5,10,0.008992985,0.5636826753616333,Cabo_de_Pennas,COP
sgd,5,50,0.009034582,0.43663403391838074,Cabo_de_Pennas,COP
sgd,5,100,0.009034582,0.29949599504470825,Cabo_de_Pennas,COP
sgd,5,200,0.008992985,0.21014322340488434,Cabo_de_Pennas,COP
sgd,10,10,0.008910365,1.0019906759262085,Cabo_de_Pennas,COP
sgd,10,50,0.008508515,0.226432666182518,Cabo_de_Pennas,COP
sgd,10,100,0.008238051,0.22502614557743073,Cabo_de_Pennas,COP
sgd,10,200,0.008910365,0.20345410704612732,Cabo_de_Pennas,COP
sgd,15,10,0.009076371,1.6951723098754883,Cabo_de_Pennas,COP
sgd,15,50,0.008627129,0.30310678482055664,Cabo_de_Pennas,COP
sgd,15,100,0.008910365,0.5782895088195801,Cabo_de_Pennas,COP
sgd,15,200,0.008828505,0.3538106381893158,Cabo_de_Pennas,COP
rmsprop,1,10,0.00846934,0.12415634095668793,Cabo_de_Pennas,COP
rmsprop,1,50,0.008587408,0.139619380235672,Cabo_de_Pennas,COP
rmsprop,1,100,0.00786652,0.14850245416164398,Cabo_de_Pennas,COP
rmsprop,1,200,0.008587408,0.13443128764629364,Cabo_de_Pennas,COP
rmsprop,5,10,0.009034582,0.5338318347930908,Cabo_de_Pennas,COP
rmsprop,5,50,0.009076371,0.36925140023231506,Cabo_de_Pennas,COP
rmsprop,5,100,0.008992985,0.34643179178237915,Cabo_de_Pennas,COP
rmsprop,5,200,0.009034582,0.5177841186523438,Cabo_de_Pennas,COP
rmsprop,10,10,0.009076371,0.9195085763931274,Cabo_de_Pennas,COP
rmsprop,10,50,0.009076371,0.4867773652076721,Cabo_de_Pennas,COP
rmsprop,10,100,0.009034582,0.33227965235710144,Cabo_de_Pennas,COP
rmsprop,10,200,0.008707122,0.37518876791000366,Cabo_de_Pennas,COP
rmsprop,15,10,0.009076371,2.3060250282287598,Cabo_de_Pennas,COP
rmsprop,15,50,0.009034582,1.0252236127853394,Cabo_de_Pennas,COP
rmsprop,15,100,0.008869341,0.4938231408596039,Cabo_de_Pennas,COP
rmsprop,15,200,0.009034582,1.0497208833694458,Cabo_de_Pennas,COP
adam,1,10,0.008177517,0.0807187408208847,Estaca_de_Bares,GOW
adam,1,50,0.008798233,0.07960488647222519,Estaca_de_Bares,GOW
adam,1,100,0.008919759,0.07880689948797226,Estaca_de_Bares,GOW
adam,1,200,0.008960639,0.07983681559562683,Estaca_de_Bares,GOW
adam,5,10,0.009084407,0.6655474901199341,Estaca_de_Bares,GOW
adam,5,50,0.009084407,0.5536231994628906,Estaca_de_Bares,GOW
adam,5,100,0.009084407,0.31924164295196533,Estaca_de_Bares,GOW
adam,5,200,0.009042962,0.2962764501571655,Estaca_de_Bares,GOW
adam,10,10,0.009042962,1.3281817436218262,Estaca_de_Bares,GOW
adam,10,50,0.009084407,0.6987767815589905,Estaca_de_Bares,GOW
adam,10,100,0.009084407,0.5749540328979492,Estaca_de_Bares,GOW
adam,10,200,0.009042962,0.26675331592559814,Estaca_de_Bares,GOW
adam,15,10,0.009084407,0.9351146817207336,Estaca_de_Bares,GOW
adam,15,50,0.009084407,1.0915805101394653,Estaca_de_Bares,GOW
adam,15,100,0.009042962,1.040885329246521,Estaca_de_Bares,GOW
adam,15,200,0.009084407,1.0407637357711792,Estaca_de_Bares,GOW
